"SortOrder1","Goal","Target","Indicator","Series Code","Series Description","SortOrder2","Country or Area","SIDS","LDC","LLDC","Frequency","Unit","Location","Age Group","Sex","Source Type","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN"
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020805","Lebanon","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","154.00","E, 1","1,630.00","E, 1","1,486.00","E, 1","1,956.00","E, 1","451.00","E, 1","112.00","E, 1","1.00","E, 1","57.00","E, 1","440.00","E, 1","67.00","E, 1","6.00","E, 1","","","81.00","E, 1","30,031.00","E, 1"
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020340","Saint Lucia","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","125.00","E, 1","","","127.00","E, 1","","","","","40.00","E, 1","40.00","E, 1","1.00","E, 1","772.00","E, 1","23.00","E, 1","","","2.00","E, 1"
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020609","Sri Lanka","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","336,822.00","E, 1","8,957.00","E, 1","11,801.00","E, 1","94,219.00","E, 1","466,344.00","E, 1","46,879.00","E, 1","68,052.00","E, 1","42,314.00","E, 1","32,770.00","E, 1","32,085.00","E, 1","41,887.00","E, 1","228,360.00","E, 1","56,221.00","E, 1","43,286.00","E, 1"
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020104","Morocco","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","1,282.00","E, 1","","","1,059.00","E, 1","1,188.00","E, 1","84,279.00","E, 1","371.00","E, 1","","","249.00","E, 1","322.00","E, 1","50,194.00","E, 1","1,667.00","E, 1","1.00","E, 1","","","53.00","E, 1"
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020227","Madagascar","False","True","False","Annual","Number (Units)","Total","Total","Total","Not available","19,071.00","E, 1","2,260.00","E, 1","8,751.00","E, 1","30,338.00","E, 1","459,178.00","E, 1","33,777.00","E, 1","2,096.00","E, 1","272,652.00","E, 1","661,298.00","E, 1","4,952.00","E, 1","182,110.00","E, 1","124,763.00","E, 1","327,610.00","E, 1","210,480.00","E, 1"
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020606","Maldives","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","3,304.00","E, 1","128.00","E, 1","268.00","E, 1","61.00","E, 1","52,960.00","E, 1","959.00","E, 1","2,140.00","E, 1","2,047.00","E, 1","65.00","E, 1","","","","","","","","","",""
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020332","Mexico","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","573,265.00","E, 1","100,399.00","E, 1","1,475,616.00","E, 1","555,073.00","E, 1","1,256,570.00","E, 1","6,163,537.00","E, 1","345,092.00","E, 1","3,305,418.00","E, 1","1,351,793.00","E, 1","692,410.00","E, 1","2,314,781.00","E, 1","740,259.00","E, 1","254,662.00","E, 1","1,044,468.00","E, 1"
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020907","Marshall Islands","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","696.00","E, 1","","","","","","","","","",""
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020229","Mali","False","True","True","Annual","Number (Units)","Total","Total","Total","Not available","","","","","","","","","180.00","E, 1","","","","","1,741.00","E, 1","612.00","E, 1","692.00","E, 1","460.00","E, 1","","","","","",""
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020233","Mozambique","False","True","False","Annual","Number (Units)","Total","Total","Total","Not available","1,360,708.00","E, 1","279,625.00","E, 1","126,740.00","E, 1","119,555.00","E, 1","160,008.00","E, 1","37,618.00","E, 1","86,762.00","E, 1","388,304.00","E, 1","467,751.00","E, 1","41,356.00","E, 1","8,834.00","E, 1","32,004.00","E, 1","59,027.00","E, 1","",""
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020231","Mauritius","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","20.00","E, 1","24.00","E, 1","820.00","E, 1","999.00","E, 1","8.00","E, 1","100.00","E, 1","","","184.00","E, 1","2,541.00","E, 1","642.00","E, 1","140.00","E, 1","","","4.00","E, 1","1,108.00","E, 1"
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020910","New Caledonia","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","","","1,100.00","E, 1","","","","","","","","","","","","","","","600.00","E, 1","","","",""
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020235","Niger","False","True","True","Annual","Number (Units)","Total","Total","Total","Not available","2,846.00","E, 1","280.00","E, 1","","","60.00","E, 1","1,178.00","E, 1","12.00","E, 1","18,188.00","E, 1","504.00","E, 1","258.00","E, 1","1,280.00","E, 1","36,118.00","E, 1","1,032.00","E, 1","9,044.00","E, 1","25,316.00","E, 1"
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020334","Nicaragua","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","98,869.00","E, 1","14,136.00","E, 1","3,690.00","E, 1","579.00","E, 1","679.00","E, 1","9,786.00","E, 1","39.00","E, 1","39,026.00","E, 1","27,007.00","E, 1","12,405.00","E, 1","22,493.00","E, 1","7,246.00","E, 1","6,013.00","E, 1","11,211.00","E, 1"
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020911","Niue","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","","","","","252.00","E, 1","","","","","","","","","","","","","","","","","",""
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020607","Nepal","False","True","True","Annual","Number (Units)","Total","Total","Total","Not available","26,517.00","E, 1","35,185.00","E, 1","89,143.00","E, 1","12,804.00","E, 1","24,288.00","E, 1","8,000.00","E, 1","93,816.00","E, 1","45,516.00","E, 1","102,177.00","E, 1","68,931.00","E, 1","166,265.00","E, 1","131,291.00","E, 1","79,647.00","E, 1","64,194.00","E, 1"
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020607","Pakistan","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","35,101.00","E, 1","2,695,896.00","E, 1","2,669,066.00","E, 1","131,587.00","E, 1","68,595.00","E, 1","59,706.00","E, 1","62,773.00","E, 1","78,158.00","E, 1","105,321.00","E, 1","31,582.00","E, 1","108,548.00","E, 1","33,550.00","E, 1","132,498.00","E, 1","115,103.00","E, 1"
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020335","Panama","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","6,825.00","E, 1","5,663.00","E, 1","7,596.00","E, 1","12,941.00","E, 1","25,024.00","E, 1","13,138.00","E, 1","10,475.00","E, 1","12,148.00","E, 1","80,498.00","E, 1","8,206.00","E, 1","52,035.00","E, 1","22,939.00","E, 1","12,679.00","E, 1","2,220.00","E, 1"
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020337","Peru","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","14,881.00","E, 1","320,442.00","E, 1","31,828.00","E, 1","67,535.00","E, 1","11,365.00","E, 1","8,343.00","E, 1","14,478.00","E, 1","544,006.00","E, 1","21,414.00","E, 1","11,981.00","E, 1","17,737.00","E, 1","9,015.00","E, 1","67,355.00","E, 1","81,812.00","E, 1"
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020913","Palau","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","","","1,659.00","E, 1","",""
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020914","Papua New Guinea","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","26,283.00","E, 1","541.00","E, 1","7,299.00","E, 1","6,072.00","E, 1","14,800.00","E, 1","202.00","E, 1","22,616.00","E, 1","197,349.00","E, 1","124,893.00","E, 1","2,580.00","E, 1","","","467.00","E, 1","172.00","E, 1","264.00","E, 1"
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020336","Paraguay","False","False","True","Annual","Number (Units)","Total","Total","Total","Not available","","","","","160.00","E, 1","","","","","","","","","3,054.00","E, 1","30,174.00","E, 1","37,196.00","E, 1","","","","","","","",""
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020806","State of Palestine","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","172.00","E, 1","4.00","E, 1","","","12.00","E, 1","","","4.00","E, 1","4.00","E, 1","","","10.00","E, 1","714.00","E, 1","301.00","E, 1","","","155.00","E, 1","1,478.00","E, 1"
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020240","Senegal","False","True","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","","","1,201.00","E, 1","","","12,822.00","E, 1","14.00","E, 1","10.00","E, 1","100,128.00","E, 1","112,228.00","E, 1","3,161.00","E, 1","1,582.00","E, 1","2,693.00","E, 1","19,135.00","E, 1"
"110501","11","11.5","11.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020916","Solomon Islands","True","True","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","790.00","E, 1","940.00","E, 1","","","","","","","39,752.00","E, 1","200.00","E, 1","138.00","E, 1","1,666.00","E, 1","36.00","E, 1","233.00","E, 1","4,800.00","E, 1"
